name,type of protest,broad type,colour,description of place,type of place,date,day,time,address,place,latitude,longitude,attendance,source,links and further info
meeting for petitioning HM for radical reform,public meeting,Chartist,pink_circle,marketplace,market,04-Oct-1830,Monday,,,Middleton,53.54888,-2.199398,,Mcr Times 2 Oct 1830,
sacred month,public meeting,Chartist,pink_circle,marketplace,market,13-Aug-1839,Tuesday,,,Middleton,53.54888,-2.199398,2000,"Charter, 18 Aug 1839",
public meeting on condition of coalminers,public meeting,trade union,pink_square,marketplace,market,11/08/1844,Monday,13:00,,Middleton,53.54888,-2.199398,,NS 3 Aug 1844,
meeting of reformers,committee meeting,radical,large_green,Union Room,own room,16-Apr-1832,Monday,,,Middleton,53.54888,-2.199398,,Mcr times 21 April 1832,
public meeting,riot,riot,target,Cutler's Hall,guild hall,01/05/1792,,,,Sheffield,53.382221,-1.469345,,"WWM F 44/19, to Zouch",
loyalist meeting,committee meeting,loyal,large_blue,Cutler's Hall,guild hall,27/12/1792,,,,Sheffield,53.382221,-1.469345,,"WWM F 65/58, 31 Dec 1792",
public meeting,public meeting,loyal,large_blue,Cutler's Hall,guild hall,31/12/1792,,,,Sheffield,53.382221,-1.469345,,"Stevenson, Artisans, p. 20; Sheff Register 4 Jan 1793",
loyalist committee,committee meeting,loyal,large_blue,Cutler's Hall,guild hall,09/02/1793,,,,Sheffield,53.382221,-1.469345,,Add Ms 16925,
address of thanks to Col Wardle,address meeting,reform,grn_circle,Cutler's Hall,guild hall,12/04/1809,,,,Sheffield,53.382221,-1.469345,5000,Cobbett's PR 6 May 1809,
anti-EIC monopoly,public meeting,commercial,large_purple,Cutler's Hall,guild hall,01/04/1812,,,,Sheffield,53.382221,-1.469345,"mans, merchs","Leeds Mercury, 4 April 1812",
anti-EIC monopoly,public meeting,commercial,large_purple,Cutler's Hall,guild hall,23/12/1812,,,,Sheffield,53.382221,-1.469345,"mans, merchs",WWM F 65/60,
plug,strike meeting,trade union,pink_square,Roscoe Fields,field,01/06/1842,,20:00,,Sheffield,53.38817,-1.47898,,NS 18 June 1842,
Chartist meeting/plug,strike meeting,Chartist,pink_circle,Roscoe Fields,field,23/08/1842,Tuesday,,,Sheffield,53.38817,-1.47898,,NS 20 Aug 1842,
SCI meeting,committee meeting,radical,large_green,"Freemasons' hall, Paradise Square",guild hall,26/03/1792,,,Paradise Square,Sheffield,53.384072,-1.470133,,Eng Hist Docs 314,
address of thanks to Col Wardle,address meeting,reform,grn_circle,Paradise Square,square,12-Apr-1809,,,Paradise Square,Sheffield,53.383954,-1.470432,,Cobbett's PR 6 May 1809,
parl reform and thanks to Burdett,address meeting,radical,large_green,Paradise Square,square,06-Jun-1810,,,Paradise Square,Sheffield,53.383954,-1.470432,,"Sheffield Iris, 12 June 1810; Cobbet's PR 16 June 1810",
reform,public meeting,radical,large_green,Paradise Square,square,20-Jan-1817,,,Paradise Square,Sheffield,53.383954,-1.470432,,"WWM F 45h/165, Wortley to Fitz, 15 Jan 1817",
"election address of Bethell, Wilson and Duncombe",election,election,ltblu_circle,Paradise Square,square,07-Jun-1826,,,Paradise Square,Sheffield,53.383954,-1.470432,,Ward diary 289,
Milton and Marshall election address,election,election,ltblu_circle,Paradise Square,square,13-Jun-1826,,,Paradise Square,Sheffield,53.383954,-1.470432,,Ward diary 289,
petition for Catholic emancipation,petition,reform,grn_circle,Paradise Square,square,20-Feb-1829,Friday,,Paradise Square,Sheffield,53.383954,-1.470432,,Sheff Indep 21 Feb 1829,
election speech by Brougham,election,reform,grn_circle,Paradise Square,square,05/08/1830,Thursday,,Paradise Square,Sheffield,53.383954,-1.470432,,MG 7 August 1830,
election speech by Brougham,election,reform,grn_circle,Paradise Square,square,26-Oct-1830,,,Paradise Square,Sheffield,53.383954,-1.470432,,Ward 294,
political union on the reform bill,public meeting,reform,grn_circle,Paradise Square,square,07/03/1831,Monday,12:00,Paradise Square,Sheffield,53.383954,-1.470432,,Sheff Indep 5 March 1831,
Whig election hustings,election,election,ltblu_circle,Paradise Square,square,25-Apr-1831,Monday,12:00,Paradise Square,Sheffield,53.383954,-1.470432,18000,LM 30 April 1831,
demo on Lords' rejection of reform bill,demonstration,reform,grn_circle,Paradise Square,square,08-Oct-1831,,,Paradise Square,Sheffield,53.383954,-1.470432,,Ward diary 297,
reform bill,demonstration,reform,grn_circle,Paradise Square,square,07/05/1832,Monday,12:00,Paradise Square,Sheffield,53.383954,-1.470432,3000,Sheff Indep 12 May 1832,
reform bill,demonstration,reform,grn_circle,Paradise Square,square,21/05/1832,Monday,,Paradise Square,Sheffield,53.383954,-1.470432,14000,Sheff Indep 16 May 1832,
Whig election address,election,election,ltblu_circle,Paradise Square,square,13/07/1837,Thursday,,Paradise Square,Sheffield,53.383954,-1.470432,,LM 22 July 1837,
O'Connor address,lecture,Chartist,pink_circle,Paradise Square,square,04/07/1839,Thursday,20:00,Paradise Square,Sheffield,53.383954,-1.470432,,NS 6 July 1839,
election of delegates,committee meeting,Chartist,pink_circle,Paradise Square,square,15/07/1839,Monday,,Paradise Square,Sheffield,53.383954,-1.470432,,NS 20 July 1839,
election of delegates,committee meeting,Chartist,pink_circle,Paradise Square,square,05/08/1839,Monday,20:00,Paradise Square,Sheffield,53.383954,-1.470432,,Add MS 34245B,
Chartist political holiday,strike meeting,Chartist,pink_circle,Paradise Square,square,12-Aug-1839,,,Paradise Square,Sheffield,53.383954,-1.470432,,"Baxter, 'Early Chartism', 142",
silent meeting Chartists,demonstration,Chartist,pink_circle,Paradise Square,square,08/09/1839,Monday,,Paradise Square,Sheffield,53.383954,-1.470432,,MG 18 Sep 1839,
Chartist battles,riot,Chartist,pink_circle,Paradise Square,square,09/09/1839,Tuesday,,Paradise Square,Sheffield,53.383954,-1.470432,,"Baxter, 'Early Chartism', 142",
Chartists,public meeting,Chartist,pink_circle,Paradise Square,square,10/09/1839,Wednesday,,Paradise Square,Sheffield,53.383954,-1.470432,,MG 18 Sep 1839,
Chartists,public meeting,Chartist,pink_circle,Paradise Square,square,12/09/1839,Thursday,17:00,Paradise Square,Sheffield,53.383954,-1.470432,2000,"MG 18 Sep 1839; Baxter, 'Early Chartism', 142",
Chartists,public meeting,Chartist,pink_circle,Paradise Square,square,23/09/1839,Monday,,Paradise Square,Sheffield,53.383954,-1.470432,,NS 28 Sep 1839,
Operative Anti-Corn Law Association,public meeting,ACLA,large_purple,Paradise Square,square,18/02/1842,Friday,,Paradise Square,Sheffield,53.383954,-1.470432,,Sheff Indep 19 Feb 1842,
public meeting,public meeting,Chartist,pink_circle,Paradise Square,square,01-Jun-1842,,13:00,Paradise Square,Sheffield,53.383954,-1.470432,,NS 18 June 1842,
procession for Chartist funeral of Samuel Holberry,procession,Chartist,pink_circle,Paradise Square,square,27/06/1842,Monday,20:00,Paradise Square,Sheffield,53.383954,-1.470432,3000,NS 2 July 1842,
