Date,City,Category,Behaviours,Prison rescue,Begging,Factory visiting,Target,Public/Private,People/Property,People targeted in their homes?,Specific individuals targeted?,Locations,Start point,Latitude,Longitude,Space,Place,Starting Place,Type of space,Industrial,Duration,First day,Time,Working hours (7-7),monthyear,year,month,Weekday,Special date
1807 - July 13,Manchester,Identity,"Fighting with sticks, bludgeons and a stabbing.
Band playing Orange tunes and ""No Popery"" chalked up on the walls. Carrying banners as part of the march.
Troops called out to restore order",0,0,0,People in public,Public,People,No,No,"Church Street, High Street (near the Catholic meeting place of Roman Entry).","Church Street, Manchester, UK",53.4829775,-2.2374786,"Street (procession). The location is significant, being very close to the Catholic meeting place in Roman Entry",,Street (procession),Streets and fields,No,Hours,1807-07-13,??,,1807-07,1807,July,Monday,12th July
1808 - May/June,Manchester,Economic,"Daily ritual of mass meetings. People marching in from neighbouring town. Riot Act read and charges of the troops and men shot at. 
Strike. People arrested, in the evening mob returned and released the prisoners and set fire to the gaol (2 bags of shuttles had been deposited at the House of Correction). Pamphlets being printed to reassure weavers that no agreement had been reached (combatting misinformation). Soldiers pouring into Manchester from all around. Attacks on scabs - taking away shuttles, cutting their pieces, stop all workers carrying finished pieces and send them home. Distributing food amongst the crowd. Lots of Irish amongst those arrested. Burned in effigy many of the town's manufacturers. Women more turbulent and mischievous than the men. Threatening to pull down the houses of scabs. Destroying pieces with vitriol dropped on works through cracks in windows.
In general strike carried out with little violence. (Many 1000s involved)",1,0,1,"Scabs and looms.
Also weaver's private houses.
Police and gaol.",Both,Both,Yes,Scabs,St George's Fields and all around,"St George's Fields, Manchester, UK",53.490063,-2.229838,Open air meeting,St Georgeâ€™s Fields,Open air meeting,Streets and fields,Yes,Weeks,NA,??,,1808-05,1808,May,NA,No
1812 - April,Manchester,Economic,"Mass meeting with speeches. Broke into Exchange Building smashing furniture etc throwing it into street to set on fire. Breaking windows. Riot Act read, militia deployed.
Visiting factories and houses in Stockport. Burning down private houses and destroying furniture (often of employers). Smashing windows, power looms and pieces being worked on. Targeting specific people. Headed by two men in women's clothes (""wives of Ludd""). Entering shops and taking everything. Stoning coaches. Firing muskets into factories. Holding nocturnal meetings. Targeting factories which are 'weaving by steam'. Trying to raise up bread riot and lower prices (Rochdale). Trying to bribe militiamen to join them. Woman about to give evidence against Luddites killed. Rescuing prisoners. Workers inside factories firing out and defending them. Murdering police who they tried to 'twist in'. Inflamatory bills posted around the town. Leaders of mob giving orders - attacking 'spies'. (Many 1000s involved)",0,0,1,"Employers, police, scabs.
Factories, private homes and public buildings.
Also shops/markets.
Destroying power looms specifically",Both,Both,Yes,"Scabs, employers","Market Place and St Anne's Square (Exchange).
Stockport and Edgeley. Middleton. Rochdale. 
Shudehill. Deansgate. Ancoats. 
Ashton","Exchange Buildings, Manchester, UK",53.484197,-2.243509,Exchange,The Exchange,Exchange. Starts at public meeting,"Workplaces (factory, workshops, docks etc)",Yes,Months,NA,"Afternoon, daytime and evenings",Y,1812-04,1812,April,NA,No
1818 - July 15,Manchester,Economic,"Strike. Very disciplined (peaceable, picketing in orderly fashion, marching in military style, Ok-level of intimation etc).
Destroying the victuals of scabs left outside for their lunch. Arson at night. Dead and skinned rabbit hoisted on lampost at Deansgate.
Annonymous letter threatening to kill solicitor.
In Stockport two or three nights of riot as power-loom weavers attacked factories, smashed windows, intimidated workers, stones and brickbats thrown at cavalry.",0,0,1,"Factories, scabs and military",Public,Both,No,No,Stockport,"Stockport, Manchester, UK",53.4106316,-2.1575332,Factories,,Factory,"Workplaces (factory, workshops, docks etc)",Yes,Hours,1818-07-15,Night,N,1818-07,1818,July,Wednesday,No
1818 - July,Manchester,Misc (anti-police),Fighting with police. More people join. General fight. Smashing several pubs up as they pursued the police,0,0,0,Police,Public,Both,No,No,"Ancoats (White Horse pub, Ancoats lane; Robin Hood pub, Newton Lane)","White Horse pub Ancoats lane, Manchester, UK",53.481671,-2.226521,Pub,White Horse pub,Pub,"Places of leisure (pubs, theatres, football grounds etc)",No,Hours,NA,Evening,N,1818-07,1818,July,NA,No
1818 - September 2,Manchester,Economic,"Strike. Every morning and evening violence against workers (using stones and mud). Attacking and hooting respectable looking gentlemen. Marching in rank and file to demand factories demanding workers turn out. Stealing staves from police/soldiers. Stoning and shooting into and out of factories. Assembling on St Georges. Attacking mills. 
Weavers marching into the town from Ashton, Oldham and Middleton. 
Dragoons fire warning shots over heads then fire directly at crowds. Marching out to Ashton with flags and music (intercepted and sent home peacefully by magistrates). (Many 1000s involved)",0,1,1,"Factories, scabs, local gentlemen, police/troops.",Public,Both,No,No,Ancoats. St Georges Fields. Pollard street. ,"St George's Fields, Manchester, UK",53.490063,-2.229838,Open air meeting,St Georgeâ€™s Fields,Strike on going,Streets and fields,Yes,"Days, escalating to the 2nd",1818-09-02,Every evening and morning. Midday,Y,1818-09,1818,September,Wednesday,No
1819 - January 22,Manchester,Political,"Riot in a theatre when Mr Hunt attended. Fighting, hooting  and singing",0,0,0,Loyalists vs Reformers,Public,Both,No,Henry Huny,Theatre,Theatre,NA,NA,Theatre,,Theatre,"Places of leisure (pubs, theatres, football grounds etc)",No,Hours,1819-01-22,Evening,N,1819-01,1819,January,Friday,No
1819 - February 15,Manchester,Political,Riotous meeting. Hoisting different flags and pulling down Reformers vs Loyalists. Stoning soldiers. Assaulting local gentleman,0,0,0,"Loyalists vs Reformers.
Troops and son of local solicitor",Public,Both,No,Local Gentleman,"Stockport. Windmill Schoolrooms (where soldiers stationed), market place","Market Place Stockport, Manchester, UK",53.4113408,-2.1567149,Open air meeting. Market,Market Place,Open air meeting,Streets and fields,No,Hours,1819-02-15,??,,1819-02,1819,February,Monday,No
1819 - August 16,Manchester,Political,Peterloo. Clashes in Irish area of the city around New Cross for next few days between crowd and police but Hunt and other radical leaders urged crowds not to retaliate! (Busteed - Irish in Manchester p.148),0,0,0,Police,Public,Both,No,No,New Cross,"New Cross, Manchester, UK",53.484599,-2.233182,Street,,Street,Streets and fields,No,Days,1819-08-16,??,,1819-08,1819,August,Monday,No
1823 - January 1,Manchester,Identity,Fighting with sticks,0,0,0,English vs Irish,Public,People,No,No,"Swan Inn, Deansgate
Lad Lane","Swan Inn Deansgate, Manchester, UK",53.478007,-2.249658,Pub,Swan Inn,Pub,"Places of leisure (pubs, theatres, football grounds etc)",No,Hours,1823-01-01,Afternoon,Y,1823-01,1823,January,Wednesday,No
